pid - plain text,year,dept,,
140821,1926,Department of Chemistry.,,
140823,1926,Department of English.,,
140825,1926,Department of Chemistry.,,
140827,1926,Department of Physics.,,
141160,1926,Department of History.,,
141162,1926,Department of Pathology.,,
141165,1926,Department of Chemistry.,,
141167,1926,Department of Physiology.,,
141169,1926,Department of Psychology.,,
141171,1926,Department of Social Science.,,
141173,1926,Department of Chemistry.,,
141176,1926,Department of Economics.,,
141178,1926,Department of Psychology.,,
141180,1926,Department of ElectricalEngineering.,,
141182,1926,Department of Zoology.,,
141202,1926,Department of Mining Engineering.,,
141204,1926,Department of Physics.,,
141206,1926,Department of Chemistry.,,
141208,1926,Department of Entomology.,,
141210,1926,Department of French.,,
141212,1926,Department of English.,,
141214,1926,Department of Chemistry.,,
141216,1926,Department of Agronomy.,,
141218,1926,Department of Physics.,,
141220,1926,Department of English.,,
141222,1926,Department of Plant Pathology.,,
141224,1926,Department of Chemistry.,,
141226,1926,Department of Metallurgical Engineering.,,
141228,1926,Department of Psychology.,,
141230,1926,Department of English.,,
141232,1926,Department of Agricultural Chemistry.,,
141234,1926,Department of Economics.,,
141236,1926,Department of Chemistry.,,
141238,1926,Department of Entomology.,,
141240,1926,Department of History.,,
141242,1926,Department of Botany.,,
141244,1926,Department of Physical Education.,,
140671,1927,Department of Mining Engineering.,,
140673,1927,Department of Physiology.,,
140675,1927,Department of Geology & Mineralogy.,,
140677,1927,Department of Physics.,,
140680,1927,Department of Plant Pathology.,,
140682,1927,Department of Chemistry.,,
140686,1927,Department of Geology & Mineralogy.,,
140688,1927,Department of English.,,
140690,1927,Department of English.,,
140692,1927,Department of English.,,
140694,1927,Department of Civil Engineering.,,
140696,1927,Department of Psychology.,,
140700,1927,Department of Chemistry.,,
140709,1927,Department of Biochemistry.,,
140711,1927,Department of Psychology.,,
140713,1927,Department of Chemistry.,,
140716,1927,Department of Chemistry.,,
140718,1927,Department of Economics and Political Science.,,
140720,1927,Department of Mathematics & Physics.,,
140723,1927,Department of Chemistry.,,
140726,1927,Department of Chemistry.,,
140730,1927,Department of English.,,
140732,1927,Department of Chemistry.,,
140734,1927,Department of Chemistry.,,
140736,1927,Department of Plant Pathology.,,
140738,1927,Department of Chemistry.,,
140741,1927,Department of English.,,
140743,1927,Department of Chemistry.,,
140745,1927,Department of Bacteriology.,,
140747,1927,Department of Economics &Political Science.,,
140749,1927,Department of Physiology.,,
140751,1927,Department of Physiology.,,
140753,1927,Department of Physiology.,,
140779,1927,Department of Mathematics &Physics.,,
140781,1927,Department of Mathematics & Physics.,,
140783,1927,Department of History.,,
140788,1927,Department of Agronomy.,,
140791,1927,Department of Chemistry.,,
140794,1927,Department of Sociology.,,
140796,1927,Department of English.,,
140798,1927,Department of Chemistry.,,
140800,1927,Department of Economics.,,
140802,1927,Department of Philosophy.,,
140807,1927,Department of Chemistry.,,
140809,1927,Department of English.,,
140811,1927,Department of Economics.,,
140813,1927,Department of History.,,
140815,1927,Department of Geology & Mineralogy.,,
140817,1927,Department of Chemistry.,,
140819,1927,Department of Mining Engineering.,,
19987,1927,Department of History,,
137652,1928,Department of Greek.,,
137654,1928,Department of Physiology.,,
137656,1928,Department of Psychology.,,
139824,1928,Department of Physics.,,
140409,1928,Department of Sociology.,,
140411,1928,Department of Chemistry.,,
140418,1928,Department of French.,,
140421,1928,Department of Biochemistry.,,
140425,1928,Department of Mathematics.,,
140431,1928,Department of Psychology.,,
140433,1928,Department of German.,,
140435,1928,Department of German.,,
140437,1928,Department of Chemistry.,,
140440,1928,Department of Physics.,,
140442,1928,Department of Sociology.,,
140445,1928,Department of Agronomy.,,
140447,1928,Department of Chemistry.,,
140450,1928,Department of Physics.,,
140452,1928,Department of Chemistry.,,
140454,1928,Department of English.,,
140463,1928,Department of English.,,
140466,1928,Department of English.,,
140468,1928,Department of English.,,
140483,1928,Department of Plant Pathology.,,
140485,1928,Department of Chemistry.,,
140488,1928,Department of Physics.,,
140490,1928,Department of French.,,
140492,1928,Department of Greek.,,
140494,1928,Department of Sociology.,,
140496,1928,Department of Entomology.,,
140498,1928,Department of Psychology.,,
140500,1928,Department of Physics.,,
140502,1928,Department of Psychology.,,
140505,1928,Department of Plant Pathology.,,
140507,1928,Department of Physics.,,
140509,1928,Department of Economics.,,
140515,1928,Department of Bacteriology.,,
140517,1928,Department of English.,,
140519,1928,Department of Physiology.,,
140521,1928,Department of Geological Sciences.,,
140523,1928,Department of Philosophy.,,
140525,1928,Department of Physics.,,
140527,1928,Department of English.,,
140531,1928,Department of History.,,
140533,1928,Department of Chemistry.,,
140548,1928,Department of Economics.,,
140550,1928,Department of Economics & Political Science.,,
140552,1928,Department of Organic Chemistry.,,
140554,1928,Department of Agricultural Chemistry.,,
140556,1928,Department of Physiology.,,
140604,1928,Department of English.,,
140606,1928,Department of Greek.,,
140608,1928,Department of Entomology.,,
140610,1928,Department of Physiology.,,
140615,1928,Department of Geological Sciences.,,
140617,1928,Department of English.,,
140619,1928,Department of English.,,
140621,1928,Department of Economics.,,
140623,1928,Department of Physics.,,
140625,1928,Department of Entomology.,,
140639,1928,Department of Chemistry.,,
140641,1928,Department of Physics.,,
140643,1928,Department of Mining Engineering.,,
140645,1928,Department of Latin.,,
140647,1928,Department of Physics.,,
140649,1928,Department of Chemistry.,,
140655,1928,Department of Chemistry.,,
140657,1928,Department of Chemistry.,,
140659,1928,Department of Geological Sciences.,,
140661,1928,Department of Economics.,,
140663,1928,Department of Latin.,,
140665,1928,Department of French.,,
128842,1929,Department of History and Classical Studies,,
137192,1929,Department of French.,,
137294,1929,Department of Physics.,,
137296,1929,Department of English.,,
137302,1929,Department of Chemistry.,,
137329,1929,Department of Entomology.,,
137331,1929,Department of Chemistry.,,
137333,1929,Department of Physiology.,,
137336,1929,Department of Economics.,,
137338,1929,Department of History.,,
137342,1929,Department of English.,,
137344,1929,Department of History.,,
137345,1929,Department of History.,,
137373,1929,Department of Economics.,,
137404,1929,Department of Zoology.,,
